No.,Spec,feature,sub feature,sub feature,sub feature,test  describtion,,,,priority,level,coverage,testcase,,,,
,,,,,,Dcache LoadPipe1不可接受Load请求，Load Unit向LoadPipe1发来的请求信号有效;Load Unit向LoadPipe0和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=0,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe1不可接受Load请求，Load Unit向LoadPipe1发来的请求信号无效;Load Unit向LoadPipe0和LoadPipe2发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=0,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe2可接受Load请求，Load Unit向LoadPipe2发来的请求信号有效;Load Unit向LoadPipe0和LoadPipe1发来的请求信号无效,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe2可接受Load请求，Load Unit向LoadPipe2发来的请求信号无效;Load Unit向LoadPipe0和LoadPipe1发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe2不可接受Load请求，Load Unit向LoadPipe2发来的请求信号有效;Load Unit向LoadPipe0和LoadPipe1发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Dcache LoadPipe2不可接受Load请求，Load Unit向LoadPipe2发来的请求信号无效;Load Unit向LoadPipe0和LoadPipe1发来的请求信号无效,Dcache不会给Load Unit返回信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,,,,,,,,,,,,
,,,虚地址范围  9,,,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发来的请求信号有效，请求虚地址(set部分)为min_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_0_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=0,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_0_req_bits_addr=min_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe0发来的请求信号有效，请求虚地址(set部分)为max_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_0_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=0,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_0_req_bits_addr=max_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe0发来的请求信号有效，请求虚地址(set部分)为rand_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_0_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=0,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_0_req_bits_addr=rand_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求信号有效，请求虚地址(set部分)为min_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_1_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_1_req_bits_addr=min_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求信号有效，请求虚地址(set部分)为max_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_1_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_1_req_bits_addr=max_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求信号有效，请求虚地址(set部分)为rand_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_1_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_1_req_bits_addr=rand_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求信号有效，请求虚地址(set部分)为min_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_2_req_bits_addr=min_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求信号有效，请求虚地址(set部分)为max_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_2_req_bits_addr=max_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求信号有效，请求虚地址(set部分)为rand_addr,Dcache给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=0,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=0,
io_lsu_load_2_req_valid=0,
io_lsu_load_2_req_bits_addr=rand_addr,",,,load_req_gp,tc_dcache_load,,,,
,,,请求被中断 6,,,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发来的请求在s1阶段被中断,这笔请求处理取消,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_s1_kill,","io_lsu_load_0_req_ready=1，
io_lsu_load_0_req_valid=1
io_lsu_load_0_s1_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe0发来的请求在s2阶段被中断,hit正常resp，miss不进行后续处理mq_nack=1,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_s2_kill,","io_lsu_load_0_req_ready=1，
io_lsu_load_0_req_valid=1
io_lsu_load_0_s2_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求在s1阶段被中断,这笔请求处理取消,"io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_s1_kill,","io_lsu_load_1_req_ready=1，
io_lsu_load_1_req_valid=1
io_lsu_load_1_s1_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求在s2阶段被中断,hit正常resp，miss不进行后续处理mq_nack=1,"io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_s2_kill,","io_lsu_load_1_req_ready=1，
io_lsu_load_1_req_valid=1
io_lsu_load_1_s2_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求在s1阶段被中断,这笔请求处理取消,"io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_s1_kill,","io_lsu_load_2_req_ready=1，
io_lsu_load_2_req_valid=1
io_lsu_load_2_s1_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求在s2阶段被中断,hit正常resp，miss不进行后续处理mq_nack=1,"io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_s2_kill,","io_lsu_load_2_req_ready=1，
io_lsu_load_2_req_valid=1
io_lsu_load_2_s2_kill=1",,,load_req_gp,tc_dcache_load,,,,
,,,is128Req,,,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发来的请求is_128Req为0,请求读取1个bank,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_is128Req,","io_lsu_load_0_req_ready=1，
io_lsu_load_0_req_valid=1
io_lsu_load_0_is128Req=0",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe0发来的请求is_128Req为1,请求读取2个bank,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_is128Req,","io_lsu_load_0_req_ready=1，
io_lsu_load_0_req_valid=1
io_lsu_load_0_is128Req=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求is_128Req为0,请求读取1个bank,"io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_is128Req,","io_lsu_load_1_req_ready=1，
io_lsu_load_1_req_valid=1
io_lsu_load_1_is128Req=0",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求is_128Req为1,请求读取2个bank,"io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_is128Req,","io_lsu_load_1_req_ready=1，
io_lsu_load_1_req_valid=1
io_lsu_load_1_is128Req=1",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求is_128Req为0,请求读取1个bank,"io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_is128Req,","io_lsu_load_2_req_ready=1，
io_lsu_load_2_req_valid=1
io_lsu_load_2_is128Req=0",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求is_128Req为1,请求读取2个bank,"io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_is128Req,","io_lsu_load_2_req_ready=1，
io_lsu_load_2_req_valid=1
io_lsu_load_2_is128Req=1",,,load_req_gp,tc_dcache_load,,,,
,,,请求Miss  3,,,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0发来的请求信号有效，请求未命中,"Dcache收到Miss的数据块后进行refill,然后再返回给Load unit","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe1发来的请求信号有效，请求未命中,"Dcache收到Miss的数据块后进行refill,然后再返回给Load Unit","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=?,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,Load Unit向LoadPipe2发来的请求信号有效，请求未命中,"Dcache收到Miss的数据块后进行refill,然后再返回给Load Unit","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=?,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=?,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load,,,,
,,,,,,,,,,,,,,,,,
,,并行多个Load请求,,,,,,,,,,,tc_dcache_load_both,,,,
,,,握手valid/ready  4,,,,,,,,,,,,,,
,,,,,,Dcache LoadPipe0/LoadPipe1/LoadPipe2可接受Load请求;Load Unit向LoadPipe0和LoadPipe1发来的请求信号有效同时有效,Dcache LoadPipe0和 LoadPipe1给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=0,",,,load_req_gp,tc_dcache_load_both,,,,
,,,,,,Dcache LoadPipe0/LoadPipe1/LoadPipe2可接受Load请求;Load Unit向LoadPipe0和LoadPipe2发来的请求信号有效同时有效,Dcache LoadPipe0和 LoadPipe2给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=0,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load_both,,,,
,,,,,,Dcache LoadPipe0/LoadPipe1/LoadPipe2可接受Load请求;Load Unit向LoadPipe1和LoadPipe2发来的请求信号有效同时有效,Dcache LoadPipe1和 LoadPipe2给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=0,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load_both,,,,
,,,,,,Dcache LoadPipe0/LoadPipe1/LoadPipe2可接受Load请求;Load Unit向LoadPipe0、LoadPipe1和LoadPipe2发来的请求信号有效同时有效,Dcache LoadPipe0、LoadPipe1和 LoadPipe2给Load Unit返回正确的信息,"io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,",,,load_req_gp,tc_dcache_load_both,,,,
,,,loadpipe之间的bank冲突 9,,,,,,,,,,,,,,
,,,,bank不同组合,,,,,,,,,,,,,
,,,,,,bank_idx=0~7,,"io_read_*_valid,
io_read_*_bits_addr[5:3],","io_read_*_valid=1,
io_read_*_bits_addr[5:3]=0~7,",,,,,,,,
,,,,,,2个请求都读取64bit，bank位相同,,"io_lsu_load_0_is128Req，
io_lsu_load_1_is128Req，
io_lsu_load_2_is128Req","io_lsu_load_0_is128Req=0，
io_lsu_load_1_is128Req=0，
io_lsu_load_2_is128Req=0,",,,,,,,,
,,,,,,2个请求一个读取64bit，一个读取128bit，有相同的same_bank，,,"io_lsu_load_0_is128Req，
io_lsu_load_1_is128Req，
io_lsu_load_2_is128Req","io_lsu_load_0_is128Req=0，
io_lsu_load_1_is128Req=1，",,,,,,,,
,,,,,,2个请求都读取128bit，bank位相同,,"io_lsu_load_0_is128Req，
io_lsu_load_1_is128Req，
io_lsu_load_2_is128Req","io_lsu_load_0_is128Req=1，
io_lsu_load_1_is128Req=1，
io_lsu_load_2_is128Req=1,",,,,,,,,
,,,,load通道不同组合,,,,,,,,,,,,,
,,,,,,Load Unit向LoadPipe0、LoadPipe1和LoadPipe2发来的请求信号同时有效;向LoadPipe0和LoadPipe1请求的虚地址bank部分为same_bank;向LoadPipe2请求的虚地址bank部分为diff_bank,"Dcache LoadPipe2给Load Unit返回正确的信息， LoadPipe0和LoadPipe1根据请求在LSU的id判断冲突情况
，有冲突的请求需要重发","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr[5:3]=same_bank,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr[5:3]=same_bank,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr[5:3]=diff_bank,",,,,tc_dcache_load_both,,,,
,,,,,,Load Unit向LoadPipe0、LoadPipe1和LoadPipe2发来的请求信号同时有效;向LoadPipe0和LoadPipe2请求的虚地址bank部分为same_bank;向LoadPipe1请求的虚地址bank部分为diff_bank,"Dcache LoadPipe1给Load Unit返回正确的信息， LoadPipe0和LoadPipe2根据请求在LSU的id判断冲突情况
，有冲突的请求需要重发","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr[5:3]=same_bank,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr[5:3]=diff_bank,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr[5:3]=same_bank,",,,,tc_dcache_load_both,,,,
,,,,,,Load Unit向LoadPipe0、LoadPipe1和LoadPipe2发来的请求信号同时有效;向LoadPipe1和LoadPipe2请求的虚地址bank部分为same_bank;向LoadPipe0请求的虚地址bank部分为diff_bank,"Dcache LoadPipe0给Load Unit返回正确的信息， LoadPipe1和LoadPipe2根据请求在LSU的id判断冲突情况
，有冲突的请求需要重发","io_lsu_load_0_req_ready,
io_lsu_load_0_req_valid,
io_lsu_load_0_req_bits_addr,
io_lsu_load_1_req_ready,
io_lsu_load_1_req_valid,
io_lsu_load_1_req_bits_addr,
io_lsu_load_2_req_ready,
io_lsu_load_2_req_valid,
io_lsu_load_2_req_bits_addr,","io_lsu_load_0_req_ready=1,
io_lsu_load_0_req_valid=1,
io_lsu_load_0_req_bits_addr[5:3]=diff_bank,
io_lsu_load_1_req_ready=1,
io_lsu_load_1_req_valid=1,
io_lsu_load_1_req_bits_addr[5:3]=same_bank,
io_lsu_load_2_req_ready=1,
io_lsu_load_2_req_valid=1,
io_lsu_load_2_req_bits_addr[5:3]=same_bank,",,,,tc_dcache_load_both,,,,
